25558	18957	Tau
25555	19009	Tau
25604	19038	Tau
25680	19076	Tau
25642	19167	Per
25823	19171	Tau
25867	19205	Tau
25975	19302	Per
25998	19335	Per
25940	19343	Per
26162	19388	Tau
26409	19483	Eri
26322	19513	Tau
26612	19515A	Hor
26612	19515B	Hor
26462	19554	Tau
26574	19587	Eri
26690	19719	Tau
26722	19740A	Tau
26722	19740B	Tau
26967	19747	Hor
26846	19777A	Eri
-	19777B	Eri
27256	19780	Ret
26673	19811	Per
26630	19812	Per
26965	19849	Eri
26912	19860	Tau
26911	19877	Tau
27290	19893	Dor
27442	19921	Ret
27045	19990	Tau
27657	20020A	Ret
-	20020B	Ret
27376	20042	Eri
28525	20049	Men
27176	20087	Tau
27295	20171	Tau
27309	20186	Tau
27371	20205	Tau
27383	20215A	Tau
27383	20215B	Tau
27397	20219	Tau
27382	20250	Tau
27348	20252	Per
27459	20261	Tau
29116	20297	Men
28093	20384	Ret
27628	20400	Tau
27638	20430	Tau
27697	20455	Tau
27749	20484	Tau
27861	20507	Eri
27820	20522	Tau
-	20531	Tau
27778	20533	Tau
28028	20535	Eri
27819	20542	Tau
27777	20579	Per
27786	20591A	Per
27786	20591B	Per
27934	20635	Tau
27946	20641	Tau
27962	20648A	Tau
27962	20648B	Tau
27991	20661	Tau
28024	20711	Tau
28052	20713	Tau
28100	20732	Tau
28149	20789	Tau
28294	20873	Tau
28292	20877	Tau
28307	20885	Tau
28305	20889	Tau
28319	20894	Tau
28355	20901	Tau
28485	20995A	Tau
28485	20995B	Tau
28556	21036	Tau
28546	21039	Tau
28873	21060	Cae
28595	21082	Tau
28677	21137	Tau
28749	21139	Eri
28446	21148B	Cam
28446	21148A	Cam
28693	21238	Per
28704	21242	Per
29085	21248	Eri
28910	21273	Tau
29009	21278A	Eri
29009	21278B	Eri
29305	21281A	Dor
29305	21281B	Dor
29064	21296	Eri
29291	21393	Eri
29140	21402	Tau
29139	21421	Tau
29248	21444	Eri
29391	21547	Eri
29388	21589	Tau
29375	21588	Tau
29503	21594B	Eri
29503	21594A	Eri
29479	21673	Tau
29488	21683	Tau
29317	21727	Cam
29316	21730C	Cam
29316	21730A	Cam
29316	21730B	Cam
29589	21735	Tau
29755	21763	Eri
29875	21770	Cae
29992	21861	Cae
29763	21881	Tau
30185	21914	Pic
29722	21928	Per
30612	21949	Men
29859	21961	Tau
30020	21986B	Eri
30021	21986A	Eri
30076	22024	Eri
30478	22040	Dor
30211	22109	Eri
30495	22263	Eri
30608	22280	Cae
30121	22287	Cam
30606	22325	Eri
30605	22441	Tau
30652	22449	Ori
30504	22453	Aur
30814	22479	Eri
30985	22488	Cae
30739	22509	Ori
31203	22531	Pic
31204	22534	Pic
30836	22549	Ori
30780	22565	Tau
30442	22626	Cam
30959	22667	Ori
30834	22678	Aur
31109	22701	Eri
31139	22730	Ori
30614	22783	Cam
31237	22797	Ori
31283	22833	Ori
31295	22845	Ori
30958	22854	Cam
32440	22871	Men
31421	22957	Ori
31512	22958	Eri
31189	22994	Cam
31398	23015	Aur
31278	23040B	Cam
31278	23040A	Cam
31553	23068	Tau
31592	23088	Tau
31767	23123	Ori
34172	23148	Men
